Word,Frequency
dokter,1931
arts,1176
schilder,708
portier,575
inspecteur,509
chef,371
architect,336
officier,327
manager,317
ambtenaar,280
bakker,219
huisarts,215
wetenschapper,203
adviseur,192
verpleegkundige,156
expert,143
onderzoeker,141
psycholoog,138
jurist,124
arbeider,122
ingenieur,114
deskundige,114
specialist,108
makelaar,106
accountant,98
timmerman,87
dierenarts,81
loodgieter,73
patholoog,72
beambte,45
coördinator,44
machinist,42
scheikundige,41
elektricien,40
barkeeper,35
monteur,33
technicus,33
administrateur,20
rechtsgeleerde,17
fysiotherapeut,14
supervisor,12
kassier,10
programmeur,8
roostermaker,1
